"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Real Madrid";38;29;6;3;106;41;93;90.87;36.86;86.17
2;"Barcelona";38;28;6;4;116;37;90;93.55;31.32;87.95
3;"Atletico Madrid";38;23;9;6;70;27;78;60.66;31.34;69.1
4;"Sevilla";38;21;9;8;69;49;72;59.09;38.7;66.18
5;"Villarreal";38;19;10;9;56;33;67;52.23;43.16;59.57
6;"Real Sociedad";38;19;7;12;59;53;64;45.58;43.71;54.94
7;"Athletic Club";38;19;6;13;53;43;63;51.08;40.46;60.54
8;"Espanyol";38;15;11;12;49;50;56;32.55;38.35;46.92
9;"Alaves";38;14;13;11;41;43;55;42.6;43.97;52.79
10;"Eibar";38;15;9;14;56;51;54;42.98;45.17;50.05
11;"Malaga";38;12;10;16;49;55;46;40.37;47.35;45.75
12;"Valencia";38;13;7;18;56;65;46;50.34;50.96;53.39
13;"Celta Vigo";38;13;6;19;53;69;45;40.48;55.98;42.63
14;"Las Palmas";38;10;9;19;53;74;39;40.8;58.39;42.11
15;"Real Betis";38;10;9;19;41;64;39;35.72;48.27;44.56
16;"Deportivo La Coruna";38;8;12;18;43;61;36;41;48.6;51.16
17;"Leganes";38;8;11;19;36;55;35;33.19;46.39;40.95
18;"Sporting Gijon";38;7;10;21;42;72;31;36.35;64.43;33.86
19;"Osasuna";38;4;10;24;40;94;22;33.13;64.82;31.64
20;"Granada";38;4;8;26;30;82;20;29.69;74.03;26.5
