"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Barcelona";38;29;4;5;112;29;91;113.6;34.03;94.38
2;"Real Madrid";38;28;6;4;110;34;90;90.45;45.23;79.09
3;"Atletico Madrid";38;28;4;6;63;18;88;54.93;27.8;72.28
4;"Villarreal";38;18;10;10;44;35;64;40.49;41.63;52.11
5;"Athletic Club";38;18;8;12;58;45;62;53.9;45.33;58.24
6;"Celta Vigo";38;17;9;12;51;59;60;50.2;51.98;53.08
7;"Sevilla";38;14;10;14;51;50;52;62.97;46.09;63.64
8;"Malaga";38;12;12;14;38;35;48;45.75;45.25;53.08
9;"Real Sociedad";38;13;9;16;45;48;48;47.95;48.04;52.75
10;"Real Betis";38;11;12;15;34;52;45;40.11;64.39;40.49
11;"Valencia";38;11;11;16;46;48;44;50.51;61.69;46.73
12;"Las Palmas";38;12;8;18;45;53;44;38.68;59.24;41.18
13;"Eibar";38;11;10;17;49;61;43;52.92;50.58;54.03
14;"Espanyol";38;12;7;19;40;74;43;46.09;60.84;43.15
15;"Deportivo La Coruna";38;8;18;12;45;61;42;43.75;52.37;46.08
16;"Sporting Gijon";38;10;9;19;40;62;39;42.57;60.62;40.61
17;"Granada";38;10;9;19;46;69;39;41.35;62.37;38.5
18;"Rayo Vallecano";38;9;11;18;52;73;38;52.26;65.09;45.78
19;"Getafe";38;9;9;20;37;67;36;41.77;63.35;40.88
20;"Levante";38;8;8;22;37;70;32;39.22;63.55;37.33
