"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Real Madrid";38;26;8;4;80;31;86;80.22;45.78;73.59
2;"Barcelona";38;21;10;7;68;38;73;70.54;35.08;73.6
3;"Atletico Madrid";38;21;8;9;65;43;71;59.45;35.77;69.01
4;"Sevilla";38;18;16;4;53;30;70;46.85;40.6;57
5;"Real Betis";38;19;8;11;62;40;65;55.9;46.79;56.49
6;"Real Sociedad";38;17;11;10;40;37;62;56.09;41.51;64.02
7;"Villarreal";38;16;11;11;63;37;59;70.33;47.89;63.85
8;"Athletic Club";38;14;13;11;43;36;55;57.01;39.29;62.79
9;"Valencia";38;11;15;12;48;53;48;42.28;52.24;46.28
10;"Osasuna";38;12;11;15;37;51;47;42.03;50.59;48.99
11;"Celta Vigo";38;12;10;16;43;43;46;44.94;46.12;51.23
12;"Rayo Vallecano";38;11;9;18;39;50;42;47.03;52.15;50.46
13;"Elche";38;11;9;18;40;52;42;36.81;61.07;35.67
14;"Espanyol";38;10;12;16;40;53;42;38.9;57.12;40.03
15;"Getafe";38;8;15;15;33;41;39;31.55;44.49;42.87
16;"Cadiz";38;8;15;15;35;51;39;41.8;54.74;44.18
17;"Mallorca";38;10;9;19;36;63;39;40.58;56.14;39.75
18;"Granada";38;8;14;16;44;61;38;41.3;66.09;37.24
19;"Levante";38;8;11;19;51;76;35;57.56;62.61;52.73
20;"Alaves";38;8;7;23;31;65;31;38.46;63.57;37.6
