"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Barcelona";38;28;4;6;70;20;88;82.79;33.34;79.31
2;"Real Madrid";38;24;6;8;75;36;78;79.39;39.44;76.46
3;"Atletico Madrid";38;23;8;7;70;33;77;68.68;43.19;67.02
4;"Real Sociedad";38;21;8;9;51;35;71;62.57;35.55;71.83
5;"Villarreal";38;19;7;12;59;40;64;65.56;51.4;61.82
6;"Real Betis";38;17;9;12;46;41;60;55.1;51.57;53.94
7;"Osasuna";38;15;8;15;37;42;53;41.42;51.58;44.56
8;"Athletic Club";38;14;9;15;47;43;51;56.22;37.49;63.84
9;"Mallorca";38;14;8;16;37;43;50;39.56;46.98;48.74
10;"Girona";38;13;10;15;58;55;49;54.8;54.71;51.6
11;"Sevilla";38;13;10;15;47;54;49;50.7;57.99;49.64
12;"Rayo Vallecano";38;13;10;15;45;53;49;42.54;53.19;45.57
13;"Celta Vigo";38;11;10;17;43;53;43;42.25;49.24;47.04
14;"Valencia";38;11;9;18;42;45;42;53.64;52.36;53.72
15;"Getafe";38;10;12;16;34;45;42;38.91;47.07;44.68
16;"Cadiz";38;10;12;16;30;53;42;42.68;68.79;39.91
17;"Almeria";38;11;8;19;49;65;41;46.09;69.26;40.16
18;"Real Valladolid";38;11;7;20;33;63;40;39.86;70.33;34.89
19;"Espanyol";38;8;13;17;52;69;37;51.04;63.92;44.88
20;"Elche";38;5;10;23;30;67;25;40.29;76.69;34.77
